customer_id,industry_code,industry,industry_group,employee_count,sales,abm_num_debit,abm_avg_debit,abm_num_credit,abm_avg_credit,card_num_debit,card_avg_debit,card_num_credit,card_avg_credit,cheque_num_debit,cheque_avg_debit,cheque_num_credit,cheque_avg_credit,wire_num_debit,wire_avg_debit,wire_num_credit,wire_avg_credit,eft_num_debit,eft_avg_debit,eft_num_credit,eft_avg_credit,emt_num_debit,emt_avg_debit,emt_num_credit,emt_avg_credit,cash_percent,debit_percent
SYNCID0000000000,7292,"Estate, Trust and Agency Funds",Investment Companies,0,0,,,,,,,,,1,415.24,0,,1,6316.04,1,0.03,,,,,,,,,0.0,99.9995543215214
SYNCID0000000001,,,,,66446,,,,,4,72.8475,0,,,,,,,,,,,,,,,,,,0.0,100.0
SYNCID0000000002,7721,Computer Services,Management Consulting,2,,,,,,,,,,14,7557.42428571429,13,7463.27846153846,,,,,,,,,,,,,0.0,52.1647362160064
SYNCID0000000004,4565,Forest Products Trucking Industry,Trucking and Freight,1,328160,,,,,41,183.759024390244,3,3184.28,,,,,,,,,,,,,,,,,0.0,44.0928052737292
SYNCID0000000005,7799,Other Business Services n.e.c.,Management Consulting,1,0,,,,,,,,,,,,,,,,,15,8363.57266666667,35,1137.05371428571,,,,,0.0,75.9172364229887
SYNCID0000000006,7761,Offices of Lawyers and Notaries,Management Consulting,0,0,,,,,,,,,2,3059.61,1,141466.98,,,,,,,,,,,,,0.0,4.14620066103741
SYNCID0000000007,7292,"Estate, Trust and Agency Funds",Investment Companies,1,33642,,,,,15,134.076,1,168.66,14,6176.53428571429,12,2991.27916666667,,,,,6,1818.83666666667,0,,0,,1,513.46,0.0,73.0994826844808
SYNCID0000000008,9659,Other Sports and Recreation Clubs,Entertainment and Recreation,0,0,,,,,,,,,1,1582.04,8,2169.18625,,,,,,,,,,,,,0.0,8.35487572832659
SYNCID0000000009,8653,"Offices of Dentists, General Practice",Healthcare Providers,1,73595,,,,,31,169.099677419355,1,17.55,13,2484.52307692308,16,1585.285,,,,,3,355.69,10,3700.618,,,,,0.0,38.2271222941446
SYNCID0000000010,7511,Operators of Residential Buildings and Dwellings,Real Estate Operators,0,,,,,,,,,,11,939.78,2,567.895,,,,,11,574.246363636364,8,537.695,,,,,0.0,75.387295827743
SYNCID0000000011,other,,,1,40498,,,,,9,60.15,0,,105,3422.066,16,2210.710625,,,,,0,,1,96.4,,,,,0.0,91.0282234120418
SYNCID0000000012,4561,General Freight Trucking Industry,Trucking and Freight,1,0,,,,,38,146.572368421053,2,4538.55,,,,,,,,,3,330.87,4,14505.47,,,,,0.0,8.90882517206448
SYNCID0000000013,8661,Offices of Chiropractors and Osteopaths,Healthcare Providers,1,164853,,,,,252,207.440357142857,15,286.906,20,31006.542,10,182482.439,,,,,7,1198.53285714286,10,2495.493,,,,,0.0,26.8571276070456
SYNCID0000000014,4275,Painting and Decorating Work,Construction Trades and Finishing,0,,0,,1,25.41,52,1636.58480769231,3,482.286666666667,,,,,,,,,8,1376.8125,17,1315.02764705882,,,,,0.0,80.1343869859973
SYNCID0000000015,7771,Management Consulting Services,Management Consulting,1,411312,,,,,,,,,,,,,,,,,10,792.556,5,62791.888,,,,,0.0,2.46223340634077
SYNCID0000000016,6312,Automobile (Used) Dealers,Automotive Dealerships and Repair,1,,,,,,,,,,1,17.19,1,45.6,,,,,2,13291.825,4,278.675,,,,,0.0,95.8204165967248
SYNCID0000000017,9931,Photographers,Miscellaneous Services,0,0,,,,,,,,,2,8760.035,0,,,,,,,,,,,,,,0.0,100.0
SYNCID0000000018,7799,Other Business Services n.e.c.,Management Consulting,2,0,,,,,39,663.239487179487,3,64492.1733333333,,,,,,,,,,,,,,,,,0.0,11.7926519240243
SYNCID0000000019,0112,,,1,214530,,,,,35,428.992571428571,0,,62,1975.42419354839,27,25876.5688888889,,,,,2,4.135,1,312.68,3,2287.32,1,209.17,0.0,17.1135306567545
SYNCID0000000021,other,,,0,0,,,,,,,,,3,1849.63,3,44.8766666666667,,,,,2,8609.235,10,7665.31,,,,,0.0,22.8691069437032
SYNCID0000000022,9811,Religious Organizations,Professional and Civic Organizations,0,0,,,,,32,109.6159375,1,23565.02,8,3653.6575,4,814.025,,,,,5,1292.56,8,1000.53,11,313.79,40,375.81725,0.0,46.1049463995648
SYNCID0000000023,6011,Food (Groceries) Stores,Grocery Stores,1,1,,,,,42,182.681428571429,1,455.78,,,,,,,,,2,12954.76,1,54.37,4,1835.665,0,,0.0,98.7687930116966
SYNCID0000000024,7292,"Estate, Trust and Agency Funds",Investment Companies,3,0,,,,,,,,,6,448.796666666667,2,658.73,,,,,,,,,,,,,0.0,67.1476021385254
SYNCID0000000025,7752,Offices of Engineers,Management Consulting,,,,,,,30,129.937333333333,1,22.84,,,,,,,,,21,515.840952380952,16,2301.91,,,,,0.0,28.5567784541695
SYNCID0000000026,9211,"Restaurants, Licensed",Restaurants and Bars,1,156751,,,,,160,217.868625,2,1248.645,1,6569.72,0,,,,,,,,,,0,,2,226.275,0.0,93.3530035012418
